PID,Type,Arrival,Burst
895,LIGHT_IO,1483,2
896,LIGHT_IO,1484,5
897,HEAVY_CPU,1486,40
898,HEAVY_CPU,1487,49
899,LIGHT_IO,1487,3
900,LIGHT_IO,1487,2
901,LIGHT_IO,1487,3
902,LIGHT_IO,1488,2
903,LIGHT_IO,1494,3
904,LIGHT_IO,1495,5
905,LIGHT_IO,1497,4
906,HEAVY_CPU,1497,55
907,HEAVY_CPU,1497,25
908,HEAVY_CPU,1501,58
909,LIGHT_IO,1502,7
910,LIGHT_IO,1502,7
911,LIGHT_IO,1506,2
912,HEAVY_CPU,1508,52
913,LIGHT_IO,1509,4
914,LIGHT_IO,1509,6
915,HEAVY_CPU,1509,50
916,LIGHT_IO,1509,5
917,LIGHT_IO,1510,3
918,LIGHT_IO,1510,9
919,LIGHT_IO,1510,3
920,LIGHT_IO,1512,7
921,LIGHT_IO,1512,2
922,HEAVY_CPU,1512,50
923,HEAVY_CPU,1526,56
924,HEAVY_CPU,1527,39
925,LIGHT_IO,1529,10
926,LIGHT_IO,1530,3
927,LIGHT_IO,1536,2
928,LIGHT_IO,1536,7
929,HEAVY_CPU,1537,20
930,LIGHT_IO,1537,4
931,HEAVY_CPU,1537,56
932,HEAVY_CPU,1537,54
933,LIGHT_IO,1540,5
934,LIGHT_IO,1541,4
935,LIGHT_IO,1541,4
936,LIGHT_IO,1541,9
937,HEAVY_CPU,1542,49
938,HEAVY_CPU,1545,36
939,LIGHT_IO,1545,8
940,LIGHT_IO,1545,7
941,LIGHT_IO,1549,6
942,HEAVY_CPU,1550,65
943,LIGHT_IO,1552,3
944,LIGHT_IO,1554,6
945,LIGHT_IO,1556,4
946,LIGHT_IO,1558,5
947,HEAVY_CPU,1561,47
948,LIGHT_IO,1566,6
949,LIGHT_IO,1566,5
950,HEAVY_CPU,1568,46
951,HEAVY_CPU,1570,48
952,LIGHT_IO,1571,1
953,LIGHT_IO,1572,7
954,LIGHT_IO,1573,3
955,LIGHT_IO,1583,3
956,HEAVY_CPU,1583,49
957,LIGHT_IO,1583,6
958,LIGHT_IO,1584,3
959,HEAVY_CPU,1585,55
960,LIGHT_IO,1586,8
961,HEAVY_CPU,1587,55
962,HEAVY_CPU,1587,41
963,LIGHT_IO,1588,6
964,LIGHT_IO,1591,5
965,LIGHT_IO,1596,5
966,LIGHT_IO,1596,6
967,LIGHT_IO,1596,4
968,LIGHT_IO,1597,5
969,LIGHT_IO,1603,6
970,LIGHT_IO,1606,5
971,LIGHT_IO,1606,5
972,LIGHT_IO,1607,4
973,LIGHT_IO,1607,4
974,LIGHT_IO,1608,6
975,LIGHT_IO,1608,4
976,LIGHT_IO,1609,4
977,LIGHT_IO,1612,5
978,LIGHT_IO,1612,5
979,HEAVY_CPU,1617,55
980,LIGHT_IO,1618,1
981,HEAVY_CPU,1619,38
982,HEAVY_CPU,1620,65
983,HEAVY_CPU,1625,64
984,LIGHT_IO,1626,8
985,HEAVY_CPU,1629,55
986,LIGHT_IO,1629,5
987,LIGHT_IO,1631,6
988,LIGHT_IO,1631,4
989,LIGHT_IO,1635,3
990,LIGHT_IO,1638,5
991,LIGHT_IO,1640,4
992,LIGHT_IO,1643,4
993,LIGHT_IO,1645,1
994,LIGHT_IO,1646,1
995,LIGHT_IO,1646,2
996,LIGHT_IO,1648,4
997,HEAVY_CPU,1648,50
998,HEAVY_CPU,1649,46
999,LIGHT_IO,1651,5
1000,HEAVY_CPU,1652,41
